Rank,School name,cost
#1,Massachusetts Institute of Technology,4061158
#2,Stanford University,2755289
#3,University of California Berkeley,1944083
#4,California Institute of Technology,3996707
#5Tie,Carnegie Mellon University,3685437
#5Tie,University of Michigan Ann Arbor,3815657
#7,Georgia Institute of Technology,2134214
#8,Purdue University West Lafayette,2108872
#9Tie,University of Illinois Urbana Champaign,2647626
#9Tie,University of Texas Austin (Cockrell),2491991
#11Tie,Texas A&M University College Station,1250426
#11Tie,University of Southern California (Viterbi),2431568
#13Tie,Columbia University (Fu Foundation),2757193
#13Tie,Cornell University,2160580
#13Tie,University of California San Diego (Jacobs),2379348
#16,University of California Los Angeles (Samueli),1944083
#17,Princeton University,3798959
#18,University of Wisconsin Madison,1869340
#19Tie,Johns Hopkins University (Whiting),4175412
#19Tie,Northwestern University (McCormick),4106347
#19Tie,University of California Santa Barbara,2026697
#19Tie,University of Pennsylvania,2582442
#23,Harvard University,4140111
#24,University of Maryland College Park (Clark),1488017
#25Tie,North Carolina State University,2345145
#25Tie,University of Washington,2568087
#27Tie,University of Minnesota Twin Cities,3652772
#27Tie,Virginia Tech,2123813
#29Tie,Duke University (Pratt),5723266
#29Tie,Rice University (Brown),5088276
#31,Ohio State University,4183102
#32Tie,Pennsylvania State University University Park,2909093
#32Tie,University of Colorado Boulder,2623750
#34Tie,Boston University,4163987
#34Tie,University of California Davis,2104625
#36,Vanderbilt University,2699407
#37,University of California Irvine (Samueli),1944083
#38,Yale University,3171292
#39Tie,Northeastern University,1877288
#39Tie,Rensselaer Polytechnic Institute,3954960
#39Tie,University of Virginia,2123813
#42Tie,Arizona State University (Fulton),
#42Tie,University of Florida,
#42Tie,University of Pittsburgh (Swanson),
#45Tie,Iowa State University,
#45Tie,New York University (Tandon),
#45Tie,University of Rochester,
#48Tie,University of Delaware,
#48Tie,University of Notre Dame,
#50Tie,Case Western Reserve University,
#50Tie,Washington University in St. Louis,
#52Tie,Brown University,
#52Tie,Dartmouth College (Thayer),
#54Tie,Rutgers The State University of New Jersey New Brunswick,
#54Tie,University of Arizona,
#56Tie,Colorado School of Mines,
#56Tie,Michigan State University,
#56Tie,University of Dayton,
#56Tie,University of Massachusetts Amherst,
#60Tie,Lehigh University (Rossin),
#60Tie,University of Tennessee Knoxville (Tickle),
#60Tie,University of Utah,
#63Tie,University of Illinois Chicago,
#63Tie,University of Texas Dallas (Jonsson),
#65Tie,Auburn University (Ginn),
#65Tie,University of Connecticut,
#67Tie,Colorado State University,
#67Tie,Stony Brook University SUNY,
#67Tie,Tufts University,
#67Tie,University at Buffalo SUNY,
#67Tie,University of California Riverside (Bourns),
#67Tie,University of Iowa,
#73Tie,University of Houston (Cullen),
#73Tie,University of Texas Arlington,
#75Tie,Clemson University,
#75Tie,Drexel University,
#75Tie,University of Central Florida,
#78Tie,Illinois Institute of Technology (Armour),
#78Tie,Oregon State University,
#78Tie,Syracuse University,
#81Tie,Rochester Institute of Technology (Gleason),
#81Tie,Stevens Institute of Technology (Schaefer),
#81Tie,University of North Carolina Chapel Hill,
#81Tie,Washington State University,
#85Tie,Michigan Technological University,
#85Tie,University of California Santa Cruz (Baskin),
#87Tie,New Jersey Institute of Technology,
#87Tie,University of Cincinnati,
#89Tie,George Washington University,
#89Tie,Missouri University of Science & Technology,
#89Tie,University of Alabama Huntsville,
#89Tie,University of Missouri,
#89Tie,University of South Florida,
#94Tie,Texas Tech University (Whitacre),
#94Tie,University of Kansas,
#94Tie,University of Kentucky,
#94Tie,University of Nebraska Lincoln,
#94Tie,Worcester Polytechnic Institute,
#99Tie,Louisiana State University Baton Rouge,
#99Tie,University of New Mexico,
#99Tie,University of Oklahoma,
